Year,netExports,Unemployment,FDI,GDPGrowth,GDP
1991,4.274134119,13.39099979,0.510803242,-8.445355177,-8.445355177
1992,-5.826693227,13.47900009,0.400946215,-7.272387999,-7.272387999
1993,-7.62796922,13.65200043,0.369354299,-1.480214759,-1.480214759
1994,-0.625,13.68500042,1.086887367,1.818011198,1.818011198
1995,9.416326063,13.69400024,0.476207946,2.860189445,2.860189445
1996,11.17330288,13.72099972,0.886595383,5.138915238,5.138915238
1997,12.68863862,13.69999981,4.460945746,-14.1928148,-14.1928148
1998,6.837488808,12.19999981,3.574799738,4.285281898,4.285281898
1999,-4.57538678,14.10000038,6.008429812,-8.281016241,-8.281016241
2000,-5.307990836,16.21800041,7.560896912,4.782042329,4.782042329
2001,-9.318733903,19.92099953,5.731605871,3.817240033,3.817240033
2002,-7.975003575,18.10899925,5.515261,5.953033877,5.953033877
2003,-10.17999306,13.7329998,9.916246541,5.151841505,5.151841505
2004,-11.15061661,12.0369997,11.74617068,6.441859686,6.441859686
2005,-14.65508002,10.08300018,13.72019166,7.153541834,7.153541834
2006,-17.09170549,8.951000214,22.90436308,6.802165969,6.802165969
2007,-18.83423484,6.877999783,31.24701892,6.557082321,6.557082321
2008,-19.74880266,5.609000206,18.91424711,6.085627082,6.085627082
2009,-8.258806948,6.816999912,7.493703708,-3.42357082,-3.42357082
2010,-2.863443249,10.27900028,3.659213464,0.569823565,0.569823565
2011,0.376520548,11.26000023,3.667499284,2.350980456,2.350980456
2012,-3.186066366,12.27000046,3.310468065,0.360583188,0.360583188
2013,-0.445829714,12.94099998,3.577967562,0.318735761,0.318735761
2014,-0.979073072,11.42399979,1.922536931,1.894547142,1.894547142
2015,0.956209663,9.142999649,4.304700174,3.989526269,3.989526269
2016,4.952692693,7.574999809,2.74518661,3.81153783,3.81153783
2017,4.335550998,6.164000034,3.42720223,3.506604774,3.506604774
2018,2.586846296,5.210999966,1.846773929,3.084189801,3.084189801
2019,3.424753248,4.340000153,2.214224123,3.371615546,3.371615546
