Year,FDI,FDI1,FDI2,FDI3,netExports,netExports1,netExports2,Unemp,Unemp1,Unemp2,Unemp3,pred1,pred2,pred3,pred4
2010,3.659213464,7.493703708,18.91424711,31.24701892,-2.863443249,-8.258806948,-19.74880266,10.27900028,6.816999912,5.609000206,6.877999783,12.510317209777583,19.63499958367956,20.816879433002303,-59.50395574830493
2011,3.667499284,3.659213464,7.493703708,18.91424711,0.376520548,-2.863443249,-8.258806948,11.26000023,10.27900028,6.816999912,5.609000206,9.999568159992425,11.3661950546498,11.668609360979772,-27.012768520911834
2012,3.310468065,3.667499284,3.659213464,7.493703708,-3.186066366,0.376520548,-2.863443249,12.27000046,11.26000023,10.27900028,6.816999912,12.458899140932823,13.833481650247546,13.869847151884528,8.605765140113732
2013,3.577967562,3.310468065,3.667499284,3.659213464,-0.445829714,-3.186066366,0.376520548,12.94099998,12.27000046,11.26000023,10.27900028,10.56108720686473,11.413939715742302,11.452560903460046,12.314813266524322
2014,1.922536931,3.577967562,3.310468065,3.667499284,-0.979073072,-0.445829714,-3.186066366,11.42399979,12.94099998,12.27000046,11.26000023,9.541275150864854,9.954394645142647,9.966411863416575,11.754064942448466
2015,4.304700174,1.922536931,3.577967562,3.310468065,0.956209663,-0.979073072,-0.445829714,9.142999649,11.42399979,12.94099998,12.27000046,10.101118255953361,9.232957335429763,9.216539653034415,9.524402548845632
2016,2.74518661,4.304700174,1.922536931,3.577967562,4.952692693,0.956209663,-0.979073072,7.574999809,9.142999649,11.42399979,12.94099998,5.644143563615943,7.243284647201537,7.241354843504173,7.528350334402179
2017,3.42720223,2.74518661,4.304700174,1.922536931,4.335550998,4.952692693,0.956209663,6.164000034,7.574999809,9.142999649,11.42399979,6.714633227654371,6.421559072591011,6.501323331371527,6.359430474537776
2018,1.846773929,3.42720223,2.74518661,4.304700174,2.586846296,4.335550998,4.952692693,5.210999966,6.164000034,7.574999809,9.142999649,6.704393123044198,6.677248267163761,6.666651340034049,5.372555338827105
2019,2.214224123,1.846773929,3.42720223,2.74518661,3.424753248,2.586846296,4.335550998,4.340000153,5.210999966,6.164000034,7.574999809,6.3715653122997225,4.184939682831647,4.153310754294714,3.944382475414507
